program,type,directed,batch,nodes,modifier,diameter,time,clocktime,system,percent,memory,voluntary,involuntary,faults,exit
glp,er,1,0,100,4,7,0.431802,14.631,0.90,2023%,25892,17284,7757,0,0
snp,er,1,0,100,4,5,0.000147104263306,0.000162,0.02,98%,31596,2,23,0,0
nx,er,0,1,100,4,5,0.0290510654449,0.029076,0.09,97%,27036,16,11,0,0
gl,er,0,1,100,4,5,0.228462,2.84102,0.67,1188%,23088,10863,1150,0,0
gtp,er,0,1,100,4,4.0,0.000327110290527,0.000332,0.16,99%,63140,53,157,0,0
glp,er,0,1,100,4,6,0.400819,15.0642,0.57,1941%,20372,15531,6327,0,0
snp,er,0,1,100,4,4,0.00019097328186,0.000205,0.03,98%,31584,2,24,0,0
nx,er,1,1,100,4,8,0.0262100696564,0.026223,0.11,76%,27236,13,59,0,0
gl,er,1,1,100,4,8,0.310297,2.76175,0.65,1029%,20552,15096,1493,0,0
gtp,er,1,1,100,4,6.0,0.000368118286133,0.000364,0.14,99%,63128,50,172,0,0
glp,er,1,1,100,4,7,0.442001,13.8415,0.67,2101%,22340,16968,6010,0,0
snp,er,1,1,100,4,5,0.000186920166016,0.000203,0.02,98%,31596,2,25,0,0
nx,er,0,2,100,4,4,0.0309860706329,0.031018,0.13,83%,26964,8,44,0,0
gl,er,0,2,100,4,4,0.202368,2.98437,0.35,1158%,22076,9863,2033,0,0
gtp,er,0,2,100,4,4.0,0.000424146652222,0.00042,0.17,99%,63140,36,178,0,0
glp,er,0,2,100,4,5,0.336138,10.9097,0.84,1839%,20404,13062,4729,0,0
snp,er,0,2,100,4,3,0.000172853469849,0.000187,0.03,98%,31584,2,27,0,0
nx,er,1,2,100,4,0,4.38690185547e-05,4.9e-05,0.08,63%,27208,22,61,0,0
gl,er,1,2,100,4,8,0.326073,3.20131,0.78,1014%,20772,15394,1962,0,0
gtp,er,1,2,100,4,6.0,0.000349998474121,0.000348,0.14,99%,63132,51,157,0,0
glp,er,1,2,100,4,7,0.492819,15.1761,0.80,1807%,25868,17312,5656,0,0
snp,er,1,2,100,4,6,0.000149965286255,0.000164,0.04,98%,31596,2,30,0,0
nx,er,0,3,100,4,5,0.0235021114349,0.023451,0.06,73%,27156,20,62,0,0
